,Model,Calc_by,MAE
0,VARMAX5_Dt,15to16,14530.55103950104
1,VARMAX5_Dt,16to17,27419.22220012655
2,VARMAX5_Dt,17to18,36933.34771921243
3,VARMAX5_Dt,18to19,46179.08303996304
4,VARMAX5_Dt,19to20,57424.01133798633
5,VARMAX5_Dt,1BR,90605.68460516002
6,VARMAX5_Dt,2BR,69730.74660032037
7,VARMAX5_Dt,3BR,53871.74251048022
8,VARMAX5_Dt,4BR,60117.08206945912
