,One_BR,Two_BR,Three_BR,Four_BR
128428,-49.152147116527054,-61.31371722652409,-111.39406656156028,-160.45409343926477
128429,-24.76656791471125,-55.986290463294864,-101.38890362661404,-133.6119195688044
128430,-16.332122843280164,-47.62952803339531,-89.25419988037888,-116.12481540859258
128431,-10.406555174806968,-38.9465738388854,-77.6364430099121,-101.28159372523345
128432,-5.144625892131526,-30.73588958007024,-66.8395016143182,-87.74420343204207
128433,-0.29692571285116653,-23.109287665158977,-56.841487714979394,-75.23988504501501
128434,4.189244176991434,-16.045097641484293,-47.58508312218326,-63.665911769428725
128435,8.341926081076023,-9.505391109466581,-39.016598736972156,-52.95278762904101
128436,12.186052804549675,-3.451621097198666,-31.084888977295876,-43.03583229838004
128437,15.74459756472737,2.15236620244987,-23.742506179844103,-33.85567980404744
128438,19.03883441084967,7.340081448027332,-16.94553598707503,-25.357426465952233
128439,22.088456919517544,12.142542634804514,-10.653337163300634,-17.490261396499303
128440,24.91169215770503,16.58845669015411,-4.828297036144451,-10.207159648914013
128441,27.525409167045733,20.70439144728569,0.5643943540607,-3.464600231115369
128442,29.9459557432138,24.515961983566925,5.558421106815775,2.780021963378415
128443,32.187013062718506,28.04499131641269,10.182148172502721,8.561214400914913
128444,34.261946603243324,31.312378022022063,14.463047826804038,13.91376056646836
128445,36.183124008716696,34.33760338051972,18.426659139089683,18.869617824347056
128446,37.96420694147969,37.141791679143616,22.101028465460935,23.465326751420186
128447,39.613495714830485,39.73884401685591,25.503684816755346,27.719935621684506
128448,41.14078374304659,42.143730720082814,28.65451375426609,31.659615366833652
128449,42.555128998092634,44.37072643185793,31.572260678464424,35.307884068029026
128450,43.86493981514791,46.43308364435187,34.27429329428504,38.68645756034552
128451,45.07800421613271,48.343070305325284,36.77668553020546,41.815431621799696
128452,46.20153099651429,50.112040243361285,39.09431345934288,44.713404853510745
128453,47.24219195606887,51.75050121993486,41.240944649638614,47.39759007871388
128454,48.20616177201634,53.26817800768156,43.22932078598025,49.88391753610959
128455,49.09989073925011,54.675097677001155,45.07270209705233,52.189457469940294
128456,49.92790003548594,55.9786567675646,46.78055153122302,54.325085192147014
128457,50.69949198710316,57.19256395585067,48.371655713448284,56.317675157190585
128458,51.414582975790196,58.31834614383712,49.84666003661144,58.16232729139443
128459,52.0795336539602,59.36472119854553,51.21789761345802,59.878555022502205
128460,52.69587585807784,60.33494792047711,52.489038280416835,61.46824269587353
128461,53.26718948045114,61.234230372890565,53.66717933793481,62.94157663042315
128462,53.796794419157685,62.067810571008785,54.75923156109816,64.30727753542583
128463,54.2877906867506,62.84058147254662,55.77160963804569,65.57336697579933
128464,54.74305385170674,63.55707430340719,56.7102505825814,66.74726704073262
128465,55.16598206233906,64.22250957642952,57.582116870205965,67.83817407471776
128466,55.55827194463684,64.83983538103514,58.39084294073159,68.84967629339815
128467,55.927347480470424,65.41967033753156,59.151289193931085,69.80423109494761
128468,56.36043129906213,66.08511097959222,60.03821976873714,70.97415248832392
