Date,Zipcode,One_BR,Two_BR,Three_BR,Four_BR
2015-06-30,90004,476.2425399772272,341.18192388086607,254.65531912739368,-511.6152062691829
2015-06-30,90007,1260.6337573281687,1203.03645658638,706.6908957798644,-52.69889025359418
2015-06-30,90012,-425.030639814176,-569.0666644289963,-755.3073636205228,215.5509528976448
2015-06-30,90016,-26.473768631918393,-132.50258048354664,-300.2517325278239,2.608230914855656
2015-06-30,90018,154.80637396897387,20.984852997146547,-36.33553783318531,407.8576591005457
2015-06-30,90019,521.8917354159925,612.3887385322057,871.2378566850851,973.2012173587384
2015-06-30,90020,-1278.9555497538768,-1230.1861188759256,-965.1425836108493,-3580.251108261087
2015-06-30,90022,277.73121728009136,-128.05010805270922,-190.58691374236682,-217.17251946099208
2015-06-30,90023,-132.2001341200638,-225.53623673366369,-47.707869265684636,-0.2678037225254083
2015-06-30,90024,-52.363913356924044,70.22191196840778,42.18644725640736,-892.2206102346373
2015-06-30,90025,277.44035338730345,215.78533352589344,743.0047538227411,229.85307245161675
2015-06-30,90026,17.662845335245887,299.3487525592819,267.648457249785,456.90067890428736
2015-06-30,90027,1032.7307760341298,963.9760738223947,693.0270097534096,1011.8208795668654
2015-06-30,90028,-266.47658856702344,35.824869935181425,462.6033681979016,-262.30568068528083
2015-06-30,90029,106.072643497371,-76.06149827144084,-180.09483509062733,-167.7475558659864
2015-06-30,90031,-307.0682283429462,-306.99417612855746,-81.39604864018116,-86.14542477178404
2015-06-30,90032,25.456527105314866,267.41486784909233,393.7357993180941,558.8401708507357
2015-06-30,90033,-76.82311472803731,-9.639235305448622,200.79191489749542,88.6056482505842
2015-06-30,90034,-74.14184831857747,90.09573223602837,256.0629758385951,126.09123129887287
2015-06-30,90038,-22.388616207070804,17.91059329147789,-97.16298033923346,89.60032183103468
2015-06-30,90039,-94.08902897138364,-41.62563733049865,-114.6353972814057,-140.031082843901
2015-06-30,90040,-988.1907055630696,-1098.07264509049,-491.25329601586566,-607.1308506539723
2015-06-30,90041,-298.452471735317,11.732238119017978,50.9037255225805,-90.918727186352
2015-06-30,90042,-381.5334790323414,-357.03505930072237,-112.233986510692,-184.06899132118562
2015-06-30,90043,69.37325608373537,196.71666001183,153.01236897634286,474.2351644148066
2015-06-30,90044,-166.38927884174953,-134.95601824662822,-159.278113950237,-270.46764472243905
2015-06-30,90045,-225.85319681599145,-675.1245744021976,-613.7062603777415,-1023.8299246339363
2015-06-30,90046,-194.03122443524015,-589.5387689849481,-269.3330130916109,-1060.2460663147929
2015-06-30,90048,16.481920310328093,-276.00231517292667,-673.3200022620058,-901.8740505547296
2015-06-30,90049,158.26768266171698,-44.74423386023721,-721.2622983042291,-975.3691884332816
2015-06-30,90056,307.6170158315795,-64.09915817049631,403.30184753269873,512.6692975541289
2015-06-30,90057,-317.4181778411225,-357.79786800232733,-146.2804702244849,-220.69874485245128
2015-06-30,90061,765.6220608216397,-37.98898876411285,-347.7824381307998,137.68967908847688
2015-06-30,90062,-388.4026874679471,-319.3069904954948,-309.25007635080885,-354.0387803857859
2015-06-30,90063,-108.10984899150341,138.5145105811835,508.010958630769,606.8891775486494
2015-06-30,90064,58.337112075815526,90.94360465566557,-12.927351923702789,-20.73270604404345
2015-06-30,90065,731.5039248935118,214.60128278369712,376.6272756966516,524.2557222523023
