,Model,Calc_by,MAE
0,VARMAX5DCRn,15to16,15202.597643797644
1,VARMAX5DCRn,16to17,30057.46387055952
2,VARMAX5DCRn,17to18,41494.71230280054
3,VARMAX5DCRn,18to19,52127.575236775236
4,VARMAX5DCRn,19to20,61757.5886026136
5,VARMAX5DCRn,1BR,78704.73876146007
6,VARMAX5DCRn,2BR,63620.902389148294
7,VARMAX5DCRn,3BR,65178.77287754337
8,VARMAX5DCRn,4BR,85972.69936266658
