,Model,Calc_by,MAE
0,VARMAX5DCRn,15to16,24892.298544698544
1,VARMAX5DCRn,16to17,43924.30834312573
2,VARMAX5DCRn,17to18,53149.01696408901
3,VARMAX5DCRn,18to19,54662.541641291115
4,VARMAX5DCRn,19to20,56139.02672461477
5,VARMAX5DCRn,1BR,67671.61760065849
6,VARMAX5DCRn,2BR,59599.76205501063
7,VARMAX5DCRn,3BR,58026.434117566365
8,VARMAX5DCRn,4BR,64289.215172508404
