Date,Zipcode,OneBR,TwoBR,ThreeBR,FourBR
2020-06-30,91205,409487,689327,774057,977935
2020-06-30,91206,411856,568264,999954,1358632
2020-06-30,91207,401503,783401,1074129,1406718
2020-06-30,91214,503343,708100,877420,1113676
2020-06-30,91302,432365,534777,980182,1358185
2020-06-30,91304,235881,333877,609214,749641
2020-06-30,91311,385044,425005,601205,748281
2020-06-30,91316,294297,514222,757300,1110740
2020-06-30,91321,243228,338533,531665,659997
2020-06-30,91324,568081,466914,597961,706546
2020-06-30,91325,557995,468563,626557,821312
2020-06-30,91331,351553,428028,499824,520287
2020-06-30,91335,302081,481511,560676,606658
2020-06-30,91342,423973,413745,533315,581195
2020-06-30,91344,554221,503860,630575,712461
2020-06-30,91345,450954,480576,554861,578099
2020-06-30,91355,321898,411445,576994,656393
2020-06-30,91356,293113,427415,738540,1281454
2020-06-30,91362,330007,438419,702037,924606
2020-06-30,91364,654033,697952,844255,1065323
2020-06-30,91367,340844,466645,759026,927385
2020-06-30,91401,489537,674557,806917,967620
2020-06-30,91403,412509,622572,1236844,1702348
2020-06-30,91405,388983,437183,620119,676647
2020-06-30,91411,393130,512239,796569,917592
2020-06-30,91423,436701,658709,1193210,1577611
2020-06-30,91501,575617,602262,908255,1264191
2020-06-30,91502,480861,597286,800390,930769
2020-06-30,91504,503990,578874,868438,1034971
2020-06-30,91505,588544,738137,844399,982012
2020-06-30,91506,651594,766712,877970,1026458
2020-06-30,91602,433041,646379,1098660,1688373
2020-06-30,91604,538081,802273,1309474,2006757
2020-06-30,91605,315017,523491,589655,638931
2020-06-30,91606,351339,620948,678116,766894
2020-06-30,91607,378993,645821,939485,1201986
2020-06-30,91702,328011,401190,477385,541053
2020-06-30,91706,372514,407449,474103,541346
2020-06-30,91709,393471,412316,583702,755534
2020-06-30,91722,331842,427013,502854,533100
2020-06-30,91724,310497,381228,574886,654809
2020-06-30,91731,418340,458783,513985,604648
2020-06-30,91732,405913,459290,485709,581721
2020-06-30,91733,422726,465087,490748,561471
2020-06-30,91741,445500,512179,673523,825548
2020-06-30,91746,467880,466453,487366,506330
2020-06-30,91748,568310,314296,584578,732404
2020-06-30,91750,290305,411002,611955,723296
2020-06-30,91754,344242,565200,683064,829429
2020-06-30,91755,414532,525432,636820,731563
2020-06-30,91762,225875,336349,446466,495890
2020-06-30,91763,334227,380089,446248,461370
2020-06-30,91765,264978,377429,620060,769762
2020-06-30,91770,497612,552854,606922,724153
2020-06-30,91773,454330,445122,578486,716391
2020-06-30,91775,693215,774790,848943,1036693
2020-06-30,91776,535904,624619,693773,809876
2020-06-30,91780,650255,691560,733155,850100
2020-06-30,91786,373589,385928,481809,549618
2020-06-30,91790,406746,483001,546554,601115
2020-06-30,91791,315428,457256,597310,724691
2020-06-30,91801,452597,609225,691562,827189
2020-06-30,91803,522135,633851,698241,783727
2020-06-30,91906,272988,288893,335180,342156
2020-06-30,91913,274737,371403,518664,617917
2020-06-30,91935,372140,427886,597312,774459
2020-06-30,91941,281974,465718,622763,727018
2020-06-30,91942,263910,406285,559912,625310
2020-06-30,91945,328419,417576,484095,520689
2020-06-30,91977,311906,357488,473517,534897
2020-06-30,92008,525609,696690,868609,942500
2020-06-30,92009,400914,501400,795393,1070587
2020-06-30,92014,708371,1169465,1763071,2076527
2020-06-30,92024,604110,766349,1018427,1246926
2020-06-30,92025,289614,392741,533347,721860
2020-06-30,92028,371362,446291,567898,689032
2020-06-30,92037,443047,798955,1721315,2199470
2020-06-30,92040,212460,368963,518978,580823
2020-06-30,92054,542744,727899,695102,775081
2020-06-30,92057,252801,343767,503167,605284
2020-06-30,92065,374621,389771,515558,608747
2020-06-30,92070,346483,397887,524520,635112
2020-06-30,92071,273645,342814,518552,569379
2020-06-30,92075,740944,1093451,1476941,1791130
2020-06-30,92078,352667,466275,580099,789044
2020-06-30,92081,296003,472159,558831,655506
2020-06-30,92082,362784,476178,575404,728061
2020-06-30,92084,415698,435889,561806,659465
2020-06-30,92091,821665,855696,1212090,2383879
2020-06-30,92101,433271,698583,967040,1342988
2020-06-30,92103,393636,615242,960691,1391925
2020-06-30,92104,328099,576272,830703,970650
2020-06-30,92106,597498,822389,1108356,1507039
2020-06-30,92107,630352,782889,1076491,1542771
2020-06-30,92108,288502,429431,670755,598180
2020-06-30,92109,460037,789510,1152912,1505731
2020-06-30,92110,324193,481246,837480,989927
2020-06-30,92115,240331,463229,600600,664965
2020-06-30,92116,301890,568082,833570,1066468
2020-06-30,92117,299346,501258,683363,768034
2020-06-30,92118,1398424,1446152,1771070,2215877
