,Model,Calc_by,MAE
0,VARMAX5_Dct,15to16,13994.718607068606
1,VARMAX5_Dct,16to17,25781.535858266296
2,VARMAX5_Dct,17to18,36584.82310138193
3,VARMAX5_Dct,18to19,47648.95672903673
4,VARMAX5_Dct,19to20,57522.696725571725
5,VARMAX5_Dct,1BR,76155.58546061825
6,VARMAX5_Dct,2BR,62303.67093827749
7,VARMAX5_Dct,3BR,59684.16216216216
8,VARMAX5_Dct,4BR,75940.23843768107
