Date,Zipcode,OneBR,TwoBR,ThreeBR,FourBR
2020-05-31,91205,411727,706576,790637,1000262
2020-05-31,91206,419665,587510,1043530,1407939
2020-05-31,91207,413247,811460,1118590,1449278
2020-05-31,91214,503025,729271,911922,1161823
2020-05-31,91302,441785,543989,986631,1372012
2020-05-31,91304,246441,345912,643991,774594
2020-05-31,91311,394001,437357,628934,776873
2020-05-31,91316,306695,525110,789962,1148092
2020-05-31,91321,256192,349901,554087,683651
2020-05-31,91324,593693,494165,629602,736526
2020-05-31,91325,596325,490039,652843,858061
2020-05-31,91331,391091,475456,534794,557002
2020-05-31,91335,304121,517642,589119,631318
2020-05-31,91342,448903,435596,564797,609561
2020-05-31,91344,563589,517902,654866,741977
2020-05-31,91345,488350,500697,575789,604765
2020-05-31,91355,340855,424119,594603,672820
2020-05-31,91356,294850,441219,769072,1301186
2020-05-31,91362,335424,449145,700852,936911
2020-05-31,91364,677079,716483,875258,1085133
2020-05-31,91367,345213,477145,784591,958059
2020-05-31,91401,500954,707797,840037,1053718
2020-05-31,91403,424919,637576,1271162,1715148
2020-05-31,91405,403466,454789,665080,722950
2020-05-31,91411,405929,534048,845564,962259
2020-05-31,91423,449537,678258,1223274,1611031
2020-05-31,91501,592448,617778,945024,1321794
2020-05-31,91502,484025,608633,821116,937692
2020-05-31,91504,529853,597478,892877,1079603
2020-05-31,91505,596579,766911,866765,1018147
2020-05-31,91506,667891,792437,902531,1080351
2020-05-31,91602,440143,663608,1130420,1823738
2020-05-31,91604,546169,818790,1372593,2121728
2020-05-31,91605,347700,538887,621251,685349
2020-05-31,91606,363258,660117,710252,788594
2020-05-31,91607,387660,672868,971909,1280716
2020-05-31,91702,344496,419584,499257,562561
2020-05-31,91706,392573,426650,496557,560103
2020-05-31,91709,394517,420678,590262,767031
2020-05-31,91722,341670,437869,524763,554994
2020-05-31,91724,322472,393641,597107,674572
2020-05-31,91731,456512,474287,528285,622334
2020-05-31,91732,417963,470658,506004,597436
2020-05-31,91733,455723,475732,509771,579338
2020-05-31,91741,465697,520211,694587,841034
2020-05-31,91746,499046,479125,509120,527942
2020-05-31,91748,579138,316042,600492,744108
2020-05-31,91750,291198,417430,631012,739576
2020-05-31,91754,354301,582031,706914,840842
2020-05-31,91755,448088,540159,652262,748196
2020-05-31,91762,220940,343132,459158,507503
2020-05-31,91763,344607,392804,456325,472609
2020-05-31,91765,271576,384993,632441,784419
2020-05-31,91770,529253,567513,630498,742216
2020-05-31,91773,472257,456829,597701,728940
2020-05-31,91775,721272,789486,891989,1060254
2020-05-31,91776,582847,651335,716748,818253
2020-05-31,91780,694232,702740,752614,864460
2020-05-31,91786,367446,394298,494085,563820
2020-05-31,91790,407157,499933,566649,616564
2020-05-31,91791,331351,473175,613196,739994
2020-05-31,91801,496390,627988,715121,834260
2020-05-31,91803,562941,663307,729051,798826
2020-05-31,91906,277781,308227,348460,357805
2020-05-31,91913,300800,388927,543242,645589
2020-05-31,91935,379705,447187,629348,801307
2020-05-31,91941,292105,482428,648384,755903
2020-05-31,91942,277239,421479,586384,659094
2020-05-31,91945,333477,438840,508639,553609
2020-05-31,91977,322416,372721,501475,569332
2020-05-31,92008,528453,712694,903475,985001
2020-05-31,92009,403428,514995,822528,1117356
2020-05-31,92014,711170,1171297,1843095,2162029
2020-05-31,92024,594457,772145,1053291,1286344
2020-05-31,92025,283894,416762,557598,751511
2020-05-31,92028,371374,450694,580918,696966
2020-05-31,92037,461259,821399,1791563,2260004
2020-05-31,92040,214093,374957,543777,607632
2020-05-31,92054,550065,739614,729397,820770
2020-05-31,92057,258928,359790,521604,627260
2020-05-31,92065,380118,397291,538293,631481
2020-05-31,92070,360078,415120,530804,634589
2020-05-31,92071,274094,359219,547012,599467
2020-05-31,92075,718691,1113046,1525277,1876495
2020-05-31,92078,345172,481320,597194,815022
2020-05-31,92081,302754,494783,580255,674377
2020-05-31,92082,364492,487668,592749,745282
2020-05-31,92084,430540,449289,580855,679425
2020-05-31,92091,829542,870800,1258391,2437316
2020-05-31,92101,437629,701708,986330,1406426
2020-05-31,92103,408364,629616,994596,1440513
2020-05-31,92104,338109,598154,869629,1013833
2020-05-31,92106,618658,828098,1145906,1522586
2020-05-31,92107,647083,804420,1101952,1580144
2020-05-31,92108,300015,442724,683237,606293
2020-05-31,92109,475728,817237,1181077,1579690
2020-05-31,92110,340077,506533,879707,1035763
2020-05-31,92115,254134,484372,631555,694828
2020-05-31,92116,316795,598377,872104,1140226
2020-05-31,92117,312637,525853,716132,806526
2020-05-31,92118,1447037,1543460,1893673,2294285
2020-05-31,92119,266371,343758,634826,727801
2020-05-31,92120,261653,431235,678751,792810
2020-05-31,92122,389653,551477,853071,1013625
2020-05-31,92124,356292,509040,684127,836230
2020-05-31,92126,297450,423732,661739,713188
2020-05-31,92127,336179,462476,765257,1034315
2020-05-31,92128,318720,504707,717727,875798
2020-05-31,92130,443424,642717,923596,1307131
2020-05-31,92131,298903,506355,746884,966391
2020-05-31,92211,219785,306247,424300,552029
2020-05-31,92220,173141,253768,270254,322337
2020-05-31,92234,157525,234435,336665,392532
2020-05-31,92260,249370,301659,415223,661698
2020-05-31,92262,153270,336260,570969,705834
2020-05-31,92264,177698,297976,581901,1096835
2020-05-31,92270,189700,325310,533579,877756
2020-05-31,92277,120774,128078,166365,209025
2020-05-31,92284,153978,179052,238222,316455
2020-05-31,92308,169267,226257,239618,346462
2020-05-31,92314,177927,212315,323425,443554
2020-05-31,92315,226953,283176,405481,594581
2020-05-31,92320,260936,299828,360791,416349
2020-05-31,92325,162479,204366,273404,314871
2020-05-31,92341,162622,192657,276929,324042
2020-05-31,92352,220913,295187,406068,541953
2020-05-31,92373,225988,386659,482673,603494
2020-05-31,92374,267258,294543,376154,443258
2020-05-31,92386,151126,188201,248563,288545
2020-05-31,92391,182009,214970,273701,319874
2020-05-31,92399,273987,301268,375738,470677
2020-05-31,92407,158248,258615,344560,403604
2020-05-31,92503,335372,339352,401836,461831
2020-05-31,92504,330982,348831,390598,459904
2020-05-31,92592,313986,358969,442051,523748
2020-05-31,92596,297757,276335,419443,458988
2020-05-31,92603,466179,699501,1035593,1584707
2020-05-31,92604,553537,608969,799164,973675
2020-05-31,92606,435481,590702,789054,956934
2020-05-31,92610,360587,468123,752471,853228
2020-05-31,92612,426949,670628,861575,1024309
2020-05-31,92614,431939,573010,805769,1068236
2020-05-31,92618,416892,603676,855706,1205972
2020-05-31,92620,364791,627747,869286,1140849
2020-05-31,92626,492424,531742,812144,905289
2020-05-31,92627,849073,687072,872601,1130008
2020-05-31,92646,406058,558224,843083,1025349
2020-05-31,92648,491763,784310,1061059,1466404
2020-05-31,92651,1493765,1715545,2424680,3350793
2020-05-31,92655,704344,595353,683685,741815
2020-05-31,92672,598055,780228,1058143,1303985
2020-05-31,92677,366583,536607,817055,1100310
2020-05-31,92683,618514,519771,697933,783535
2020-05-31,92688,314376,460842,683759,821871
2020-05-31,92692,386765,564193,735770,873806
2020-05-31,92805,407296,522475,588603,649778
2020-05-31,92806,563966,408535,652513,700512
2020-05-31,92808,404706,498396,744721,880233
2020-05-31,92833,352452,521198,618097,822029
2020-05-31,92841,442181,564310,656033,688796
2020-05-31,92843,308892,446983,626639,668793
2020-05-31,92867,626923,621849,710910,825402
2020-05-31,92870,366641,446064,687474,777151
2020-05-31,92886,277508,477419,743397,912886
2020-05-31,93001,494509,557619,701884,1076418
2020-05-31,93003,365218,406900,594219,686611
2020-05-31,93010,322903,419856,590229,694612
2020-05-31,93012,357233,446905,571798,794998
2020-05-31,93021,397827,417755,560454,746330
2020-05-31,93022,470327,476771,585627,712308
2020-05-31,93023,454627,509682,679610,943611
2020-05-31,93035,451260,606940,643428,636898
2020-05-31,93036,299678,411267,518894,594588
2020-05-31,93063,371834,401321,547820,652385
2020-05-31,93065,322775,449474,550385,652178
2020-05-31,93101,788390,858700,1021579,1320403
2020-05-31,93105,643083,958039,1255553,1498761
2020-05-31,93110,508705,703846,1111370,1518389
2020-05-31,93111,555762,648847,950924,1076354
2020-05-31,93117,416621,610557,862979,954673
2020-05-31,93222,193338,238297,291733,348489
2020-05-31,93277,150680,177638,241630,311579
2020-05-31,93291,150964,162663,252946,353424
2020-05-31,93292,145263,171999,246789,311217
2020-05-31,93309,124454,170561,227489,287349
2020-05-31,93402,505463,549449,640889,859395
2020-05-31,93405,522059,599559,759620,890884
2020-05-31,93420,432850,479165,692315,894101
2020-05-31,93422,379416,414816,558864,699825
2020-05-31,93433,391616,429570,573203,678967
2020-05-31,93442,528180,594258,726877,955971
2020-05-31,93446,441712,381727,508864,636153
2020-05-31,93449,670348,718285,950108,1145274
2020-05-31,93454,238179,309732,396190,439816
2020-05-31,93463,502464,553522,814966,961372
2020-05-31,93536,244433,243235,340933,395573
2020-05-31,93551,287305,291399,371451,423164
2020-05-31,93561,189164,224965,286556,366213
2020-05-31,93612,158260,177698,250853,315754
2020-05-31,93618,152047,166761,232411,274137
2020-05-31,93704,150577,193674,277670,338923
2020-05-31,93923,1030209,1174000,1668130,2212332
2020-05-31,93940,454106,699561,840217,1139716
2020-05-31,93950,741675,846347,987742,1250245
2020-05-31,94005,771323,920465,1133138,1646954
2020-05-31,94010,848597,1565532,2311297,3399919
2020-05-31,94014,697955,907409,1015120,1208410
2020-05-31,94019,855574,902336,1200503,1439411
2020-05-31,94022,1118026,2126020,3256887,3858047
2020-05-31,94024,3022446,2705872,2865679,3190059
2020-05-31,94025,967844,1610743,2199995,3543741
2020-05-31,94037,891346,951021,1154750,1335479
2020-05-31,94038,899695,957689,1165276,1315985
