,One_BR,Two_BR,Three_BR,Four_BR
138575,16.648392899942444,20.382011198031776,26.020494571592284,32.081381392204605
138576,16.64942424548562,20.383374614408485,26.022254448544704,32.08355768514945
138577,16.650192233434396,20.384395424190938,26.02357234544593,32.08518790013794
138578,16.650893740869495,20.3852871890478,26.02471763692349,32.08660201125843
138579,16.65162504867628,20.386183578355233,26.02586295485285,32.088014070608104
138580,16.65210666125138,20.386828023773433,26.026694217811162,32.089042824968395
138581,16.652811356256365,20.38765449107556,26.02774479853199,32.090335365989574
138582,16.653601856771807,20.388595389596777,26.02894123136714,32.09180871113775
138583,16.654104476473975,20.389267472368843,26.029807414070575,32.092880749344836
138584,16.654736751701837,20.390026075310104,26.030774543797794,32.09407186031672
138585,16.65524272000476,20.390669658257135,26.031599678297237,32.09509094949518
138586,16.655779782925325,20.391325847380973,26.032437642719987,32.0961239225572
138587,16.65623950141388,20.391905289536073,26.03317995707153,32.097040320444115
138588,16.656579719611198,20.39235167814687,26.033754762490002,32.09775106438095
138589,16.657873617046885,20.39373431267776,26.035489444944016,32.0998754838358
138590,16.658581716312028,20.3946835104348,26.036710064411984,32.101386927279826
138591,16.660010305432632,20.3962936123146,26.038745450156856,32.103886321025534
138592,16.660815848236798,20.39738446490858,26.04015162592523,32.10562789968809
138593,16.669399240804594,20.406218109621765,26.051172679291383,32.119097515758966
138594,16.673489150905745,20.411826959517057,26.058393632569526,32.12804870663613
138595,16.67601958605558,20.415400029278615,26.06303734029087,32.133805465665574
138596,16.67766231255849,20.417713268819035,26.066047037510085,32.137535856008995
138597,16.678756656236963,20.419241877154043,26.068034318355323,32.139998322661725
138598,16.68753097614256,20.42835026961755,26.07941485643157,32.15391377612163
138599,16.691740775146126,20.434130849330312,26.086859890607418,32.16314287156742
138600,16.6943460916357,20.43781113970867,26.091643444104076,32.16907306410336
138601,16.69612000359861,20.440276250214662,26.09484602837594,32.17304060136649
138602,16.705304075666643,20.44996912179292,26.106987832988015,32.187900125551884
138603,16.710021978981146,20.456369204274665,26.115225156494297,32.198105593911876
138604,16.712902185795347,20.460436491214978,26.120510645380737,32.20465820994725
138605,16.71585807676003,20.464162045818288,26.125294584600116,32.21056210104968
138606,16.717589020045292,20.46657356028529,26.128421308120227,32.21443740514241
138607,16.719401753616314,20.468841467708287,26.131330025714103,32.2180260725674
138608,16.721080310075898,20.470937167081278,26.13401319434429,32.2213369376755
138609,16.723864412036868,20.474113593350946,26.138033489215434,32.22627715976118
138610,16.728746524654287,20.479579983216105,26.144928979099888,32.23474357542894
138611,16.73161754770401,20.483418064236197,26.149868386173885,32.240858082200376
138612,16.733636006037198,20.48614808217866,26.153398941491403,32.24522813202996
138613,16.735254304618998,20.4882757236899,26.156143211948482,32.24862104869586
138614,16.736358632715273,20.489773482203656,26.158081076443178,32.25102008289371
138615,16.737521350227023,20.491217468907884,26.15993079100933,32.25330159623318
138616,16.738835970037588,20.49279859607448,26.16194561558943,32.25578366581571
138617,16.739622507200888,20.493870476181893,26.163330322439833,32.25749869896376
138618,16.741104566938656,20.49555773018103,26.165466804170418,32.260123472984745
138619,16.742788199541426,20.497546240350008,26.167991921103766,32.26323207250727
138620,16.747641417409433,20.502779200859457,26.174561693920307,32.27128236967527
138621,16.75008263115332,20.50613387823868,26.178886965932577,32.27664340111909
138622,16.75163064693257,20.508306310801835,26.181709041727014,32.280141092168094
138623,16.75266325711635,20.509746261809713,26.183580302010476,32.28245965552743
138624,16.753376962952842,20.51072986880443,26.184856843927893,32.28404069052044
138625,16.7539762295483,20.511513661966774,26.18586764908025,32.28529010536853
138626,16.754827769538245,20.51251260901051,26.187137407941485,32.286852383845336
138627,16.77106338940222,20.529020398809536,26.207691879047843,32.31195697866372
138628,16.77898319985241,20.539768542064195,26.22151027392251,32.32908001156759
138629,16.783759789056344,20.54653760772067,26.230308833499727,32.339989277941505
138630,16.786963713845005,20.551013241571887,26.236126972312928,32.34719842055935
138631,16.789003793919342,20.553891550136036,26.239872542216244,32.35184141108842
138632,16.790682330936445,20.556112539467424,26.24274194797365,32.35538960260468
138633,16.79199633866454,20.557838989096105,26.244968078160706,32.358142012817616
138634,16.79309313199605,20.559256135629912,26.24679134131599,32.3603948155494
138635,16.794223937426697,20.56065015081515,26.24857413935022,32.36259330245048
138636,16.795685648939685,20.562369715754073,26.250758948134965,32.36528204738759
138637,16.796620180557525,20.56361312491506,26.252360313119674,32.36726366605397
138638,16.802147344355316,20.569399488307145,26.259598115754056,32.376117825864014
138639,16.804933663005045,20.57318707987245,26.264472693739222,32.382157795051434
138640,16.80667201750979,20.575628412404665,26.267643371663357,32.38608777984843
138641,16.807821736455253,20.577235848020237,26.269732842899817,32.388676954257576
138642,16.808608430415692,20.578323953418547,26.27114564960167,32.39042697895954
138643,16.80916880845499,20.57908802978292,26.272135920394117,32.391652993265325
138644,16.817440964184502,20.587549334791408,26.28268290657545,32.404538834104564
138645,16.821365447559998,20.592925785609186,26.289602728247814,32.41311661773783
138646,16.823879042011804,20.59643902770011,26.294163448629497,32.41876839660673
138647,16.82549731944897,20.59871507366258,26.297123736784968,32.42243749246847
138648,16.826575443934335,20.600220334822424,26.299080465124124,32.424862067647915
138649,16.82731766571068,20.601244776384608,26.30041028852963,32.426509183685305
138650,16.828356944384534,20.602478768174656,26.30198232957256,32.42844429741978
138651,16.836336974744714,20.61072439743946,26.312273586964547,32.441025264935234
138652,16.840242166644202,20.616049707029795,26.319126435718083,32.44951803766798
138653,16.843157267879313,20.61995652456,26.324174190086005,32.455763476994925
138654,16.845292985088978,20.622818516458647,26.327873268733075,32.46034043540431
138655,16.846970715852734,20.625029033811924,26.330724830742604,32.46386640465995
138656,16.84819563296667,20.62666336308968,26.332835531946614,32.46647772032426
138657,16.848997284742044,20.62776798424023,26.334267627124564,32.468251623328854
138658,16.84998701557147,20.62896672292637,26.33579861891575,32.47013788942306
138659,16.850856982899572,20.630055177798585,26.337191759559275,32.47185723143325
138660,16.851928959243043,20.631328769108105,26.3388121489835,32.47385223767705
138661,16.852664238381273,20.632293713912034,26.340053307011434,32.47538720136482
138662,16.85317246073876,20.63298014748972,26.34094073197356,32.47648563937564
138663,16.854317637437482,20.63425770944263,26.342553882603575,32.47846553361046
138664,16.854975093190383,20.63514098922231,26.34369129824673,32.47987385036762
