,Model,Calc_by,MAE
0,VARMAX5_Dn,15to16,13888.49455994456
1,VARMAX5_Dn,16to17,24804.777582934104
2,VARMAX5_Dn,17to18,38691.28185153479
3,VARMAX5_Dn,18to19,54965.01743589743
4,VARMAX5_Dn,19to20,66614.49558212058
5,VARMAX5_Dn,1BR,53681.33860468287
6,VARMAX5_Dn,2BR,59545.64929620668
7,VARMAX5_Dn,3BR,86057.01642752462
8,VARMAX5_Dn,4BR,117703.9103984186
