,One_BR,Two_BR,Three_BR,Four_BR
128428,-111.01618006416534,-128.3915026499847,-182.67229916134198,-248.11086598421275
128429,-88.41173745753903,-130.20377076760994,-179.68365309801354,-225.93399028198147
128430,-82.2213692000769,-127.27074412984027,-173.79564887579835,-215.15721038160365
128431,-78.80534786308911,-123.0258560305731,-167.72133682449464,-206.99192824120274
128432,-75.90996309780861,-118.6990581233331,-161.91558840606137,-199.6220881226198
128433,-73.21217769212046,-114.55899237591873,-156.42907313902006,-192.71579227272977
128434,-70.66731802647627,-110.64276158417377,-151.25024784177126,-186.202581119503
128435,-68.2657672999809,-106.94643106327656,-146.36371088566366,-180.05753690542824
128436,-65.99956739866113,-103.45857635871,-141.75295072639625,-174.2592342688709
128437,-63.86115754252468,-100.16747725297812,-137.402302541165,-168.78798900299807
128438,-61.8433164744526,-97.06197157657643,-133.29699721116282,-163.62525012190983
128439,-59.93920715802381,-94.13152373450217,-129.42310788281947,-158.75351072051348
128440,-58.142375271109806,-91.36619689945826,-125.76749917215983,-154.1562545133162
128441,-56.446731907062855,-88.75661867795506,-122.31778144547908,-149.81790199153164
128442,-54.84560587748338,-86.29281094943246,-119.06078005391323,-145.72153258743046
128443,-53.33467189109885,-83.96758173998539,-115.98694376214716,-141.8557997460027
128444,-51.9087138518858,-81.77310675808457,-113.0859662444135,-138.2074718800037
128445,-50.562895036124814,-79.70197612939442,-110.34804577275115,-134.7641894434297
128446,-49.28988206533935,-77.74377768943282,-107.75946339874109,-131.50763583163692
128447,-48.08866094022573,-75.89534764768841,-105.31590479708741,-128.43437722565278
128448,-46.95486638044931,-74.15057986280092,-103.00940878351835,-125.5335877928545
128449,-45.88463078801048,-72.50362566573847,-100.83222487879188,-122.79541924733046
128450,-44.87434227009426,-70.94894002142938,-98.77701634202205,-120.21063356967986
128451,-43.920598036140134,-69.48128685830244,-96.83686012070558,-117.77052390565605
128452,-43.02018869143151,-68.09572635701683,-95.00522586227721,-115.46687838828626
128453,-42.170086972178765,-66.78759895425425,-93.27595386213147,-113.29195132068634
128454,-41.36743742473559,-65.55250955037528,-91.64323404146779,-111.23843665089922
128455,-40.608618916885,-64.38517470083652,-90.10009782203807,-109.29721779013373
128456,-39.89218310843631,-63.28283061742412,-88.64284777902641,-107.46430922759227
128457,-39.210061061793304,-62.23500298643631,-87.25776945504198,-105.72007125245845
128458,-38.5665286840104,-61.245100934071345,-85.94910013814443,-104.07378164788717
128459,-37.95603015432088,-60.30667398667955,-84.70857973028863,-102.51235864573597
128460,-37.37972797814612,-59.42011704040897,-83.53656057916996,-101.03803223687048
128461,-36.83538221396555,-58.58262398572934,-82.42943093540886,-99.6454214775624
128462,-36.32113815401447,-57.791447331094474,-81.38353739094936,-98.32982755134141
128463,-35.83528305185432,-57.043965302065125,-80.39540722185313,-97.08687119800459
