Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00:00,94.06,73.24,76.75,92.525,105.10249999999999,67.9175,40.4425
12:00:00,119.79999999999998,135.0675,129.28750000000002,140.97500000000002,142.5625,111.505,104.86999999999998
13:00:00,111.45499999999997,144.74,147.85500000000002,120.18499999999999,141.89999999999998,157.735,145.27999999999997
14:00:00,193.8025,174.93,144.54749999999999,132.7775,155.985,187.32000000000002,199.79250000000002
15:00:00,165.03250000000003,161.66500000000002,180.415,156.45750000000004,221.15000000000003,176.74500000000003,215.9375
16:00:00,112.55,155.26500000000001,148.27249999999998,180.305,191.81750000000002,172.35750000000004,197.11
17:00:00,120.36499999999998,131.81,106.58000000000001,112.14249999999997,155.38750000000005,105.08000000000001,114.12999999999997
18:00:00,120.34249999999997,99.39250000000001,93.215,101.1825,93.9275,92.1375,86.0575
19:00:00,98.16749999999999,79.54499999999999,61.015,66.11000000000001,89.14000000000001,103.80250000000001,98.98749999999998
20:00:00,78.93750000000001,68.36000000000001,67.5725,77.9,114.55999999999999,111.21000000000001,79.7
21:00:00,66.50750000000001,85.5325,66.4325,90.88000000000001,105.7625,66.13250000000001,81.0125
22:00:00,49.165000000000006,54.78499999999999,70.4875,77.99,90.97999999999999,45.18000000000001,43.73500000000001
23:00:00,0.0,4.49,0.0,0.0,53.45500000000002,41.3125,7.98
