Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00:00,64.652,90.22800000000001,79.546,72.216,62.76600000000001,59.724,62.553999999999995
12:00:00,71.09000000000002,130.056,87.80999999999999,132.59,48.332,95.384,83.90999999999998
13:00:00,84.09199999999998,100.048,129.856,118.13600000000001,98.966,138.04999999999998,129.73000000000002
14:00:00,111.896,135.462,126.63199999999999,114.548,104.234,162.52200000000002,134.37
15:00:00,124.35199999999999,122.872,119.224,143.16600000000003,157.13400000000001,147.69199999999998,116.504
16:00:00,85.254,143.72400000000002,120.32799999999999,137.71,125.24400000000001,144.39400000000003,113.82000000000001
17:00:00,75.452,81.128,76.45,95.758,108.91799999999999,83.514,82.92199999999998
18:00:00,72.86,82.94599999999998,72.34750000000001,60.05000000000001,81.484,66.486,66.35000000000001
19:00:00,44.614000000000004,68.93,43.675,88.5225,75.85000000000001,50.156,67.028
20:00:00,73.93599999999999,98.28800000000001,75.145,97.315,96.324,81.0,93.056
21:00:00,43.046,71.61,68.1825,82.73750000000001,118.206,114.28599999999999,51.922000000000004
22:00:00,23.16,78.082,60.084999999999994,58.19000000000001,84.248,86.998,55.38000000000001
23:00:00,0.0,0.0,0.0,0.0,25.970000000000002,36.488,0.0
