Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00:00,51.454,49.181999999999995,48.00600000000001,70.532,74.74400000000001,70.366,50.821999999999996
12:00:00,89.21,94.40200000000004,103.41999999999997,123.52800000000002,115.93400000000001,130.944,111.03600000000002
13:00:00,77.64800000000001,87.38800000000002,83.64199999999998,132.57799999999997,101.17000000000003,129.84,151.126
14:00:00,128.70000000000002,107.05399999999999,107.41399999999999,143.38000000000002,129.59,191.59399999999997,179.96
15:00:00,141.88200000000003,122.526,127.154,171.17600000000002,147.24000000000004,189.54200000000006,183.60000000000002
16:00:00,107.378,133.91800000000003,151.81400000000005,127.26800000000001,167.90600000000003,201.07200000000003,135.06199999999998
17:00:00,98.67399999999999,82.63,120.02999999999999,75.61,139.846,121.30799999999999,114.23400000000002
18:00:00,84.43400000000001,99.25,100.42,119.81800000000003,117.496,145.88000000000002,111.766
19:00:00,90.81400000000001,98.144,98.02999999999999,110.028,103.36200000000001,97.358,119.76599999999998
20:00:00,91.332,105.092,82.022,92.73,137.15599999999998,128.85999999999999,147.22400000000002
21:00:00,83.108,61.184000000000005,115.85799999999999,118.978,139.88199999999998,120.004,111.37599999999999
22:00:00,70.34400000000001,68.25599999999999,80.198,63.0,101.26199999999999,88.522,60.498
23:00:00,0.0,0.0,0.0,0.0,52.13999999999999,88.94,0.0
