model,MSE,MAE,ForeMSE,ForeMAE
FTX 1 term,65985.656542329,192.20835953320108,22569.10449744075,116.96491755107948
FTX 2 terms,66073.42211754296,190.47574106059204,21330.794983849308,113.68113364295178
FTX 3 terms,67322.72689139047,192.79888577598345,21133.293238026163,112.76788965029938
FTX 4 terms,69428.45104749326,194.96352484791075,21098.806272923408,112.94050244105016
