Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00:00,52.7,76.795,49.9725,88.59500000000001,88.385,77.0,75.1775
12:00:00,102.10249999999999,102.0925,88.15750000000001,113.0,105.14000000000001,98.305,83.575
13:00:00,77.81,122.1525,104.7775,103.25750000000001,121.215,130.99500000000003,158.5975
14:00:00,106.60000000000002,106.845,112.65,122.85000000000002,136.69500000000002,177.76500000000004,176.0
15:00:00,123.94250000000002,145.72,171.49,117.345,196.38500000000005,153.745,123.17750000000001
16:00:00,156.46750000000003,155.6875,188.1775,134.6275,227.66500000000002,170.80750000000003,146.135
17:00:00,88.82,94.77,92.4175,135.8475,146.695,167.68000000000004,113.325
18:00:00,100.26499999999999,91.3525,90.67,85.36000000000001,131.1775,141.38000000000002,114.4875
19:00:00,64.1075,61.6725,76.77250000000001,88.7,71.135,109.35,104.10999999999999
20:00:00,102.88000000000002,85.01,70.5625,98.10499999999999,95.525,80.46000000000001,128.3325
21:00:00,60.9125,116.5375,92.965,83.595,139.6225,67.76,94.8275
22:00:00,74.6825,31.119999999999997,47.752500000000005,48.935,82.42,84.7475,47.045
23:00:00,0.0,0.0,0.0,0.0,34.945,42.83,0.0
