Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00:00,44.669999999999995,60.89600000000001,70.9425,79.04759999999999,100.384,59.99400000000001,68.02600000000001
12:00:00,63.285999999999994,110.49400000000001,105.61800000000001,80.63600000000001,76.54199999999999,99.454,97.37400000000001
13:00:00,77.06600000000002,109.462,120.438,100.02000000000002,76.798,148.088,149.20000000000002
14:00:00,103.06200000000001,115.03800000000001,135.87000000000003,113.37,141.30800000000002,171.542,182.38000000000002
15:00:00,118.092,124.07000000000001,162.202,148.078,183.16000000000005,209.39000000000001,176.174
16:00:00,112.058,159.92,120.068,169.208,187.90600000000003,142.664,142.37199999999999
17:00:00,133.58,101.07799999999999,96.11400000000002,109.824,115.562,159.10800000000003,137.87200000000004
18:00:00,119.21000000000002,134.15200000000002,89.378,84.70799999999998,112.486,97.15400000000001,109.49000000000001
19:00:00,86.46000000000002,74.29200000000002,61.844,94.23799999999999,67.68,84.274,97.514
20:00:00,83.62200000000003,98.45200000000001,58.448,84.45,113.76200000000001,81.56400000000001,85.76800000000001
21:00:00,58.826,86.13799999999999,63.784,118.404,123.93600000000002,90.324,101.69800000000002
22:00:00,44.724,69.276,57.286,77.802,79.73,74.168,62.596
23:00:00,0.0,0.0,0.0,0.0,33.62,43.452,0.0
