Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00:00,79.315,49.85,42.9975,81.8625,38.557500000000005,34.4375,37.5025
12:00:00,85.845,81.08250000000001,107.31999999999998,110.93499999999999,88.66999999999999,105.1375,72.1875
13:00:00,121.9,118.55249999999998,110.92999999999998,138.25000000000003,94.16,86.7925,119.475
14:00:00,148.1875,114.3625,94.4875,128.595,96.1175,142.365,97.53999999999999
15:00:00,161.39249999999998,107.81249999999997,118.80499999999999,126.49249999999998,117.6575,151.64499999999998,149.03750000000002
16:00:00,123.83250000000001,108.99999999999997,102.71750000000002,117.535,116.37750000000001,120.30500000000002,126.29249999999999
17:00:00,72.14250000000001,59.085000000000015,84.8025,74.67,101.1825,111.79249999999999,88.055
18:00:00,98.89750000000001,97.66749999999999,91.525,57.05,103.4625,100.0275,58.977500000000006
19:00:00,82.1625,52.99000000000001,45.477500000000006,44.8575,79.895,85.9075,57.43999999999999
20:00:00,88.1575,82.0525,84.62,102.3775,94.715,86.395,106.54
21:00:00,88.26500000000001,77.6275,73.58500000000001,92.5925,95.47500000000001,87.6925,93.96499999999999
22:00:00,33.322500000000005,68.9525,44.83500000000001,45.37500000000001,94.85,88.38250000000001,48.53000000000001
23:00:00,0.0,0.0,0.0,0.0,31.46750000000001,24.922500000000003,0.0
