,baseline
2018-07-24,1153.8450000000003
2018-07-25,928.0250000000001
2018-07-26,1001.675
2018-07-27,1184.44
2018-07-28,1356.7800000000002
2018-07-29,1346.4885294117644
2018-07-30,1040.3700000000001
2018-07-31,855.3000000000002
2018-08-01,981.2149999999999
2018-08-02,1045.865
2018-08-03,957.515
2018-08-04,1300.4700000000003
2018-08-05,1282.5
2018-08-06,916.5200000000001
2018-08-07,941.74
2018-08-08,1057.005
2018-08-09,866.4100000000001
2018-08-10,1226.065
2018-08-11,1219.0249999999996
2018-08-12,1208.17
2018-08-13,1161.6149999999998
2018-08-14,1014.27
2018-08-15,1107.17
2018-08-16,1156.4050000000002
2018-08-17,1229.2800000000002
2018-08-18,1267.4750000000004
2018-08-19,1275.01
2018-08-20,1258.2150000000001
2018-08-21,1371.9800000000002
2018-08-22,1315.46
2018-08-23,1312.745
2018-08-24,1582.03
2018-08-25,1658.795
2018-08-26,1490.8400000000001
2018-08-27,1301.4450000000002
2018-08-28,1299.4850000000006
2018-08-29,1456.3950000000002
2018-08-30,1188.177510564067
2018-08-31,1354.928389684946
2018-09-01,1224.6083896849461
2018-09-02,1429.83
2018-09-03,1560.5149999999996
2018-09-04,1343.9100000000003
2018-09-05,1556.6050000000005
2018-09-06,1219.94
2018-09-07,1504.755
2018-09-08,1447.7400000000002
2018-09-09,1537.86
2018-09-10,1325.0950000000003
2018-09-11,1418.6799999999996
2018-09-12,1164.4750000000001
2018-09-13,1162.4899999999998
2018-09-14,1543.655
2018-09-15,1425.7500000000002
2018-09-16,1405.255
2018-09-17,1329.42
2018-09-18,1209.5250000000003
2018-09-19,1142.105
2018-09-20,1198.605
2018-09-21,1376.4099999999996
2018-09-22,1844.665
2018-09-23,1678.3449999999998
2018-09-24,1729.7200000000003
2018-09-25,1510.92
2018-09-26,1352.725
2018-09-27,1158.625
2018-09-28,1325.2650000000003
2018-09-29,1682.9050000000002
2018-09-30,1512.2000000000003
2018-10-01,1104.44
2018-10-02,1232.71
2018-10-03,1318.4450000000002
2018-10-04,1294.9150000000002
2018-10-05,1927.0100000000002
2018-10-06,1728.8900000000003
2018-10-07,1475.0150000000003
2018-10-08,1161.7400000000002
2018-10-09,1206.6650000000004
2018-10-10,1084.8400000000001
2018-10-11,1110.67
2018-10-12,1374.9850000000001
2018-10-13,1476.3400000000004
2018-10-14,1285.165
2018-10-15,1292.1350000000002
2018-10-16,1033.3000000000002
2018-10-17,1139.2099999999998
2018-10-18,1214.23
2018-10-19,1345.1350000000002
2018-10-20,1455.0500000000002
2018-10-21,1485.785
2018-10-22,1171.325
2018-10-23,1486.415
2018-10-24,1435.965
2018-10-25,1307.615
2018-10-26,1451.28
2018-10-27,1270.38
2018-10-28,1207.775
2018-10-29,886.7
2018-10-30,1110.795
2018-10-31,1167.475
2018-11-01,1246.7800000000002
2018-11-02,1276.8150000000005
2018-11-03,1433.37
2018-11-04,1196.4965625
2018-11-05,1043.845
2018-11-06,1245.5800000000004
2018-11-07,1103.67
2018-11-08,1339.2700000000002
2018-11-09,1184.4900000000002
2018-11-10,1323.8049999999998
2018-11-11,1272.29
2018-11-12,805.4050000000001
2018-11-13,1126.36
2018-11-14,1090.0549999999998
2018-11-15,975.66
2018-11-16,1323.415
2018-11-17,1163.7849999999999
2018-11-18,1081.9450000000002
2018-11-19,872.0350000000001
2018-11-20,1286.83
2018-11-21,1359.5179885249554
2018-11-22,1543.95401793672
2018-11-23,1171.975
2018-11-24,1095.065
2018-11-25,1135.5950000000003
2018-11-26,904.73
2018-11-27,917.71
2018-11-28,920.6100000000001
2018-11-29,1088.78
2018-11-30,1156.865
2018-12-01,1237.1799999999998
2018-12-02,988.835
2018-12-03,970.13
2018-12-04,955.0350000000001
2018-12-05,842.6700000000001
2018-12-06,886.5800000000002
2018-12-07,1076.95
2018-12-08,1233.0350000000003
2018-12-09,1046.1000000000001
2018-12-10,1065.135
2018-12-11,1093.79
2018-12-12,1049.84
2018-12-13,918.5900000000003
2018-12-14,1231.475
2018-12-15,1342.8349999999996
2018-12-16,1253.5900000000001
2018-12-17,1153.335
2018-12-18,1002.77
2018-12-19,1047.855
2018-12-20,1172.505
2018-12-21,1122.6399999999999
2018-12-22,1113.6326923076922
2018-12-23,1112.1528632478633
2018-12-24,1215.495
2018-12-25,1035.505
2018-12-26,1003.7899999999997
2018-12-27,1173.92
2018-12-28,1067.6999999999998
2018-12-29,1219.1600997150997
2018-12-30,1191.6773076923077
