model,2017MSE,2017MAE,fit_time(s),fit_time_per_row(s)
AA_DM1FT2017,54482.1896031836,180.06726541022044,21.91,0.0602
AA_DM2FT2017,52797.18970453103,177.62627243042166,16.57,0.0455
AA_DM3FT2017,52797.19074409126,177.62627393676198,19.64,0.0539
AA_DM4FT2017,52797.19178372714,177.62627544315987,22.57,0.062
