model,MSE,MAE,ForeMSE,ForeMAE,fit_time(s),fit_time_per_row(s)
AA_DM1FT,65985.656542329,192.2083595332011,22569.104497440752,116.96491755107948,28.45,0.047
AA_DM2FT,66073.42211754296,190.47574106059204,21330.794983849308,113.68113364295178,25.02,0.0413
AA_DM3FT,67322.72689139048,192.79888577598342,21133.293238026166,112.76788965029938,32.8,0.0541
AA_DM4FT,69428.45104749326,194.96352484791078,21098.806272923408,112.94050244105014,19.43,0.0321
