Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00:00,56.06750000000001,51.197500000000005,50.1375,54.7525,62.707499999999996,60.6225,38.262499999999996
12:00:00,90.23000000000002,103.1925,95.13749999999999,83.0275,75.1725,76.93,85.755
13:00:00,71.755,81.115,127.85750000000003,84.6025,72.63,117.72,124.99250000000002
14:00:00,80.305,92.26499999999999,100.98750000000001,94.74000000000001,80.495,157.115,153.7475
15:00:00,121.5575,109.85750000000003,123.15000000000002,96.8125,138.7975,167.00750000000002,180.8675
16:00:00,103.63250000000002,103.905,93.2125,140.36,140.47750000000002,161.0475,122.28500000000001
17:00:00,92.80250000000001,68.88750000000002,120.165,73.815,103.21750000000002,111.85999999999999,132.48749999999998
18:00:00,58.32500000000001,87.83500000000001,72.59,81.26249999999999,96.7525,85.8525,87.3125
19:00:00,70.225,50.709999999999994,59.322500000000005,63.370000000000005,64.125,83.19,110.1475
20:00:00,69.505,92.52000000000001,54.96,94.7775,93.9025,101.235,92.405
21:00:00,77.2675,110.38250000000001,65.57,70.365,92.0925,95.82000000000001,69.98
22:00:00,51.3375,82.71249999999999,53.697500000000005,67.1025,95.40750000000001,83.845,61.845000000000006
23:00:00,0.0,0.0,0.0,0.0,33.685,39.6475,0.0
