Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00:00,42.29750000000001,57.2475,64.15,44.00000000000001,63.500000000000014,52.13250000000001,52.17500000000001
12:00:00,94.4975,82.795,71.85249999999999,63.21500000000001,101.0025,90.31750000000001,77.3525
13:00:00,129.25750000000002,80.19999999999999,68.39,103.46499999999999,100.575,149.3,144.5825
14:00:00,120.95499999999997,152.6125,118.09,113.21999999999998,97.56,159.3125,165.70749999999998
15:00:00,105.4675,130.475,102.63999999999999,120.3475,115.94750000000002,196.97000000000003,178.90750000000003
16:00:00,95.40249999999999,100.1125,103.1425,83.94000000000001,81.845,147.2125,116.56500000000001
17:00:00,98.53750000000001,139.4525,98.9675,80.02000000000001,105.535,154.46000000000004,133.935
18:00:00,79.7925,95.29,102.3275,106.49500000000003,110.1825,99.1675,105.35
19:00:00,66.17750000000001,82.6075,109.95250000000001,102.81249999999997,123.27749999999999,83.34,104.6625
20:00:00,98.6325,72.565,82.11749999999999,116.6575,111.54249999999999,120.30499999999999,125.42750000000001
21:00:00,109.47999999999999,107.49499999999998,113.5325,110.99749999999999,137.92749999999998,92.44250000000001,104.70500000000001
22:00:00,90.9725,66.2675,60.8975,117.06500000000001,78.17500000000001,90.26500000000001,58.44000000000001
23:00:00,0.0,0.0,0.0,0.0,51.21500000000001,59.60000000000001,0.0
