Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00:00,56.575,45.38,36.25,51.27750000000001,50.314,48.746,31.916
12:00:00,71.2375,54.2975,51.102500000000006,83.315,90.41399999999999,108.224,87.728
13:00:00,81.8,93.48,66.70249999999999,100.1825,72.608,102.226,123.17200000000001
14:00:00,128.495,87.91250000000001,118.5125,81.4775,118.46999999999998,137.144,146.66400000000002
15:00:00,111.58999999999996,99.85749999999999,110.98249999999999,100.745,109.504,153.764,150.186
16:00:00,157.88,89.675,120.7625,99.13250000000002,139.994,174.90200000000002,168.64200000000002
17:00:00,102.2575,109.59999999999998,74.93,114.60249999999999,100.332,123.13800000000002,128.12200000000004
18:00:00,94.47999999999999,76.055,117.74749999999999,88.0525,103.64,83.75,104.86000000000001
19:00:00,79.7225,88.32,90.05749999999999,100.24249999999999,104.86400000000002,117.996,105.228
20:00:00,71.03,66.955,89.4725,104.825,90.68599999999999,109.508,114.70200000000001
21:00:00,107.94749999999999,88.53,81.34,113.07249999999999,134.26000000000002,98.34200000000003,115.236
22:00:00,65.53250000000001,58.790000000000006,79.66,77.48,100.88600000000001,68.086,87.93999999999998
23:00:00,0.0,0.0,0.0,0.0,34.144,42.086000000000006,0.0
